"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Window","Next View","⌘F7","In Windows"
"Uncategorized","Open Haxe Type Declaration","F3","Editing Haxe Source"
"Navigate","Open Manifest","⇧⌥⌘M","In Windows"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Source","Toggle Comment","⌘/","Editing JavaScript Source"
"Refactor","Convert Local Variable To Field","⇧⌥⌘C","Editing ActionScript Source 2"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Refactor","Show Refactor Quick Menu","⌥⌘T","Editing ActionScript Source or Flash Explorer"
"Edit","Restore Last Selection","⇧⌃↓","Editing JavaScript Source"
"Views","Show View","⌥⌘Q Q","In Windows"
"File","Save","⌘S","In Windows"
"Window","Update Project","⌥F5","In Windows"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Source","Toggle Comment","⇧⌘C","Editing ActionScript Source 2"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Source","Toggle Comment","⌘7","Editing JavaScript Source"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Window","Next Perspective","⌘F8","In Windows"
"Server","Debug","⌥⌘D","In Servers View"
"Refactor","Override/Implement Methods","⌥⌘I","Editing ActionScript Source or Flash Explorer"
"Navigate","Activate Task","⌘F9","In Windows"
"ASA 9.x table schema editor","Paste","⌥V","In Windows"
"Text Editing","Delete Line","⌘D","Editing Text"
"Refactor","Move","⇧⌥V","Editing ActionScript Source or Flash Explorer"
"Source","Format","⇧⌘F","Editing Java Source"
"Focused UI","Make Landmark","⇧⌥⌘↑","In Windows"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks View"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Run/Debug","Execute","⌘U","In Windows"
"Refactor - JavaScript","Inline","⌥⌘I","JavaScript View"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Run/Debug","Debug Eclipse Application","⌃⌥⌘D E","In Windows"
"Navigate","Open Type","⇧⌘T","Editing JavaScript Source"
"SQL Results View","Remove All Visible Results","⇧⌦","In Windows"
"Navigate","Quick Outline","⌘O","Editing JavaScript Source"
"Database Tools","Execute Selected Text","⌥X","Editing SQL"
"Web Page Editor Layout","Graphical Designer","⇧⌘F11","Using Web Page Editor"
"Run/Debug","Step Return","F7","Debugging"
"Terminal view commands","Paste","⇧⌃V","Terminal widget context"
"Refactor - JavaScript","Extract Function","⌥⌘M","JavaScript View"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Run/Debug","Run XSLT Transformation","⌥⌘X X","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Text Editing","Line End","⌘→","Editing Text"
"Database Tools","Execute All","⌥⌘X","Editing SQL"
"Refactor - JavaScript","Extract Local Variable","⌥⌘L","JavaScript View"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"SQL Results View","Remove Result","⌘⌦","In Windows"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks Editor"
"Edit","Content Assist","⌃Space","In Dialogs and Windows"
"Text Editing","Text Start","↖","Editing Text"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Git","Commit...","⌥⌘3","In Windows"
"Task Editor","Submit Task","⇧⌥S","In Tasks Editor"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Source","Open Type","F4","Editing ActionScript Source 2"
"Navigate","Backward History","⌥⌘←","In Windows"
"JavaScript Debug","Evaluate","⇧⌥E","Editing JavaScript Source"
"Search","Open Search Dialog","⌃H","In Windows"
"Navigate","Forward History","⌘]","In Windows"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Run/Debug","FDT Plugin (Debug)","⇧⌥D P","Editing ActionScript Source or Flash Explorer"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"Edit","Context Information","⇧⌃Space","In Dialogs and Windows"
"Text Editing","Line Start","⌘←","Editing Text"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Search","References in Workspace","⇧⌘G","In Windows"
"Refactor","Change Function Signature","⌥⌘S","Editing ActionScript Source 2"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"Navigate","Next Page","⌘F5","Using Web Page Editor"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Edit","Quick Diff Toggle","⇧⌃Q","Editing Text"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors"
"Run/Debug","Run Last Launched","⇧⌘F11","In Windows"
"Task Repositories","New Subtask","⇧⌥N","In Tasks View"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks View"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Views","Show View (Declaration)","⌥⌘Q D","In Windows"
"File","Properties","⌥↩","In Windows"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks Editor"
"Run/Debug","Debug JUnit Plug-in Test","⌃⌥⌘D P","In Windows"
"Search","References in Workspace","⇧⌘G","JavaScript View"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"File","Rename","F2","In Windows"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"File","Close","⌘W","In Windows"
"Spy","Plug-in Selection Spy","⇧⌥F1","In Dialogs and Windows"
"Text Editing","Previous Word","⌥←","Editing Text"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Navigate","Go to Line","⌘L","Editing Text"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Terminal view commands","Terminal view insert","⌥T","Terminal widget context"
"Run/Debug","Run OSGi Framework","⌥⌘X O","In Windows"
"Edit","Find and Replace","⌘F","In Windows"
"File","Save All","⇧⌘S","In Windows"
"Server","Stop","⌥⌘S","In Servers View"
"Edit","Move","⇧⌥V","Editing JSP Source"
"Source","Open AS Doc View","⇧⌃F1","Editing ActionScript Source 2"
"Search","Declaration in Workspace","⌘G","JavaScript View"
"Source","Toggle Comment","⌘7","Editing ActionScript Source 2"
"Source","Organize Imports","⇧⌘O","Editing ActionScript Source or Flash Explorer"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing JavaScript Source"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Source","Indent Line","⌘I","Editing JavaScript Source"
"Navigate","Next Page","⌘F5","In Faces Config Editor"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Refactor","Extract Local Variable","⌥⌘L","Editing ActionScript Source 2"
"Source","Quick Type Dependency","⌘U","Editing ActionScript Source 2"
"Search","File Search","⇧⌘F","Editing ActionScript Source or Flash Explorer"
"Source","Quick Trace","⌘0","Editing ActionScript Source or Flash Explorer"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Source","Format","⇧⌘F","Editing ActionScript Source or Flash Explorer"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"Text Editing","Text End","⌘↘","Editing Text"
"JavaScript Debug","Open Source","⇧⌘3","Debugging"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Database Tools","Run","⌥⌘R","Editing SQL"
"Navigate","Go to Next Member","⌃⌥↓","Editing JavaScript Source"
"Navigate","Previous Page","⇧⌘F5","Using Web Page Editor"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Navigate","Open Type in Hierarchy","⇧⌘H","JavaScript View"
"Terminal view commands","Terminal view insert","⌥R","Terminal widget context"
